"Reference","Qty","Value","Footprint","Manufacturer","MPN","LCSC","DNP","Reviewed"
"C1","1","47uF","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","Kyocera AVX","TAJA476K006RNJ","C7190","","Yes"
"C2,C4","2","10uF","Capacitor_SMD:C_0805_2012Metric","Samsung Electro-Mechanics","CL21A106KPFNNNE","C17024","","Yes"
"C3,C6","2","100nF","Capacitor_SMD:C_0201_0603Metric","Samsung Electro-Mechanics","CL03A104KQ3NNNC","C160831","","Yes"
"C7","1","1uF","Capacitor_SMD:C_0201_0603Metric","Murata Electronics","GRM033R60J105KEA2D","C76929","","Yes"
"D1,D2,D3,D4","4","CUS08F30,H3F ","Diode_SMD:D_SOD-323_HandSoldering","TOSHIBA","CUS08F30,H3F ","C150183","","Yes"
"J1","1","Molex 505110-1792","hhl:5051101792","MOLEX","505110-1792","C6819458","","Yes"
"J2","1","USB4056-03-A","hhl:USB405603A","Global Connector Technology","USB4056-03-A","C7407280","","Yes"
"J4","1","PH 2.0 JST","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","JST","B2B-PH-K-K(LF)(SN)","C265438","","Yes"
"L1","1","1.3A 2.2uH ±20% 80mΩ","Inductor_SMD:L_1008_2520Metric","INPAQ","MIP25202R2MBE","C315721","","Yes"
"L2","1","BLM18AG601SN1D","Inductor_SMD:L_0603_1608Metric","Murata Electronics","BLM18AG601SN1D","C19330","","Yes"
"P1","1","RPI-RM2","hhl:RPI_RM2","Raspberry Pi","RPI-RM2","~","","Yes"
"Q1,Q2","2","BSS138DW","Package_TO_SOT_SMD:SOT-363_SC-70-6","Diodes Incorporated","BSS138DW-7-F","C154900","","Yes"
"R1,R2","2","5.1k","Resistor_SMD:R_0201_0603Metric","YAGEO","RC0201FR-075K1L","C274341","","Yes"
"R3,R4,R5,R6,R7,R8","6","1k","Resistor_SMD:R_0201_0603Metric","YAGEO","RC0201FR-071KL","C138165","","Yes"
"R9","1","100R","Resistor_SMD:R_0201_0603Metric","YAGEO","RC0201FR-07100RL ","C77623","","Yes"
"R10,R11","2","75k","Resistor_SMD:R_0201_0603Metric","YAGEO","AF0201FR-0775KL ","C2107901","","Yes"
"R12,R13","2","10k","Resistor_SMD:R_0201_0603Metric","YAGEO","RC0201FR-0710KL ","C106225","","Yes"
"R14","1","470R","Resistor_SMD:R_0201_0603Metric","YAGEO","AC0201FR-07470RL","C226558","","Yes"
"U1,U2,U3","3","USBLC6-2P6","Package_TO_SOT_SMD:SOT-666","TECH PUBLIC","USBLC6-2P6","C2827693","","Yes"
"U5","1","BQ25180","hhl:DSBGA","Texas Instruments","BQ25180YBGR","C3682423","","Yes"
"U4","1","TPS63001DRCR","hhl:VREG_V62_16624-01YE","Texas Instruments","TPS63001DRCR","C28060","","Yes"
